Name,Latitude,Longitude,Diameter
Ideler,-49.20,22.30,38.0
Idel'son,-81.50,110.90,60.0
Il'in,-17.80,-97.50,13.0
Ina,-49.20,22.30,38.0
Ingalls,26.40,-153.10,37.0
Inghirami,-47.50,-68.80,91.0
Innes,27.80,119.20,42.0
Ioffe,-14.40,-129.20,86.0
Isabel,28.20,-34.10,1.0
Isaev,-17.50,147.50,90.0
Isidorus,-8.00,33.50,42.0
Isis,18.90,27.50,1.0
Ivan,26.90,-43.30,4.0
Izsak,-23.30,117.10,30.0
J. Herschel,62.00,-42.00,165.0
Jackson,22.40,-163.10,71.0
Jacobi,-56.70,11.40,68.0
Jansen,13.50,28.70,23.0
Jansky,8.50,89.50,72.0
Janssen,-45.40,40.30,199.0
Jarvis,-34.90,-148.90,38.0
Jeans,-55.80,91.40,79.0
Jehan,20.70,-31.90,5.0
Jenkins,0.30,78.10,38.0
Jenner,-42.10,95.90,71.0
Jerik,18.50,27.60,1.0
Joliot,25.80,93.10,164.0
Jomo,24.40,-1.60,7.0
José,-12.70,-1.60,2.0
Joule,27.30,-144.20,96.0
Joy,25.00,6.60,5.0
Jules Verne,-35.00,147.00,143.0
Julienne,26.00,3.20,2.0
Julius Caesar,9.00,15.40,90.0
Kaiser,-36.50,6.50,52.0
Kamerlingh Onnes,15.00,-115.80,66.0
Kane,63.10,26.10,54.0
Kant,-10.60,20.10,33.0
Kao,-6.70,87.60,34.0
Kapteyn,-10.80,70.60,49.0
Karima,-25.90,103.00,3.0
Karpinskiy,73.30,166.30,92.0
Karrer,-52.10,-141.80,51.0
Kasper,8.30,122.10,12.0
Kästner,-6.80,78.50,108.0
Katchalsky,5.90,116.10,32.0
Kathleen,5.90,116.10,32.0
Kearons,-11.40,-112.60,23.0
Keeler,-10.20,161.90,160.0
Kekulé,16.40,-138.10,94.0
Keldysh,51.20,43.60,33.0
Kepínski,28.80,126.60,31.0
Kepler,8.10,-38.00,31.0
Khvol'son,-13.80,111.40,54.0
Kibal'chich,3.00,-146.50,92.0
Kidinnu,35.90,122.90,56.0
Kies,-26.30,-22.50,45.0
Kiess,-6.40,84.00,63.0
Kimura,-57.10,118.40,28.0
Kinau,-60.80,15.10,41.0
King,5.00,120.50,76.0
Kira,-17.60,132.80,3.0
Kirch,39.20,-5.60,11.0
Kircher,-67.10,-45.30,72.0
Kirchhoff,30.30,38.80,24.0
Kirkwood,68.80,-156.10,67.0
Klaproth,-69.80,-26.00,119.0
Klein,-12.00,2.60,44.0
Kleymenov,-32.40,-140.20,55.0
Klute,37.20,-141.30,75.0
Knox-Shaw,5.30,80.20,12.0
Koch,-42.80,150.10,95.0
Kohlschütter,14.40,154.00,53.0
